row_id,label_ai
0,boilerplate
1,boilerplate
2,boilerplate
3,boilerplate
4,boilerplate
5,boilerplate
6,boilerplate
7,boilerplate
8,boilerplate
9,boilerplate
10,boilerplate
11,boilerplate
12,deployment
13,deployment
14,deployment
15,boilerplate
16,boilerplate
17,other
18,deployment
19,other
20,other
21,deployment
22,deployment
23,deployment
24,other
25,other
26,deployment
27,boilerplate
28,boilerplate
29,boilerplate
30,deployment
31,deployment
32,other
33,other
34,other
35,deployment
36,boilerplate
37,boilerplate
38,other
39,other
40,other
41,deployment
42,other
43,boilerplate
44,boilerplate
45,boilerplate
46,boilerplate
47,boilerplate
48,boilerplate
49,boilerplate
50,deployment
51,boilerplate
52,boilerplate
53,deployment
54,deployment
55,other
56,other
57,deployment
58,deployment
59,deployment
60,boilerplate
61,boilerplate
62,governance
63,other
64,other
65,other
66,deployment
67,deployment
68,deployment
69,deployment
70,boilerplate
71,boilerplate
72,other
73,deployment
74,deployment
75,deployment
76,deployment
77,boilerplate
78,boilerplate
79,other
80,deployment
81,deployment
82,deployment
83,deployment
84,deployment
85,other
86,boilerplate
87,boilerplate
88,boilerplate
89,deployment
90,deployment
91,intent
92,intent
93,boilerplate
94,boilerplate
95,boilerplate
96,boilerplate
97,deployment
98,deployment
99,deployment
100,deployment
101,deployment
102,deployment
103,deployment
104,intent
105,boilerplate
106,boilerplate
107,deployment
108,deployment
109,deployment
110,boilerplate
111,deployment
112,deployment
113,deployment
114,deployment
115,deployment
116,deployment
117,deployment
118,intent
119,deployment
120,boilerplate
121,boilerplate
122,deployment
123,deployment
124,deployment
125,deployment
126,deployment
127,intent
128,deployment
129,deployment
130,deployment
131,other
132,deployment
133,deployment
134,boilerplate
135,boilerplate
136,deployment
137,other
138,deployment
139,deployment
140,deployment
141,deployment
142,deployment
143,boilerplate
144,boilerplate
145,deployment
146,deployment
147,deployment
148,deployment
149,deployment
150,deployment
151,deployment
152,deployment
153,deployment
154,deployment
155,deployment
156,deployment
157,deployment
158,boilerplate
159,boilerplate
160,deployment
161,deployment
162,deployment
163,deployment
164,intent
165,deployment
166,intent
167,deployment
168,deployment
169,deployment
170,deployment
171,deployment
172,deployment
173,deployment
174,deployment
175,boilerplate
176,deployment
177,deployment
178,deployment
179,deployment
180,intent
181,deployment
182,deployment
183,deployment
184,deployment
185,deployment
186,boilerplate
187,deployment
188,deployment
189,deployment
190,boilerplate
191,deployment
192,deployment
193,deployment
194,other
195,deployment
196,deployment
197,boilerplate
198,deployment
199,deployment
200,deployment
201,other
202,other
203,deployment
204,deployment
205,deployment
206,boilerplate
207,boilerplate
208,deployment
209,other
210,other
211,intent
212,other
213,other
214,deployment
215,deployment
216,intent
217,other
218,deployment
219,boilerplate
220,other
221,other
222,deployment
223,other
224,other
225,other
226,other
227,other
228,other
229,other
230,other
231,boilerplate
232,other
233,other
234,other
235,other
236,other
237,other
238,deployment
239,other
240,other
241,other
242,other
243,other
244,other
245,deployment
246,other
247,other
248,other
249,other
250,other
251,deployment
252,deployment
253,deployment
254,deployment
255,governance
256,boilerplate
257,boilerplate
258,governance
259,boilerplate
260,governance
261,boilerplate
262,other
263,boilerplate
264,boilerplate
265,boilerplate
266,other
267,boilerplate
268,boilerplate
269,boilerplate
270,other
271,other
272,other
273,other
274,other
275,other
276,other
277,other
278,deployment
279,deployment
280,deployment
281,other
282,other
283,other
284,other
285,other
286,other
287,boilerplate
288,boilerplate
289,boilerplate
290,boilerplate
291,governance
292,boilerplate
293,boilerplate
294,deployment
295,deployment
296,deployment
297,other
298,other
299,deployment
300,governance
301,governance
302,boilerplate
303,deployment
304,governance
305,boilerplate
306,boilerplate
307,governance
308,governance
309,boilerplate
310,boilerplate
311,deployment
312,deployment
313,other
314,boilerplate
315,boilerplate
316,governance
317,boilerplate
318,boilerplate
319,governance
320,boilerplate
321,boilerplate
322,boilerplate
323,governance
324,deployment
325,deployment
326,other
327,boilerplate
328,boilerplate
329,boilerplate
330,boilerplate
331,governance
332,boilerplate
333,boilerplate
334,boilerplate
335,deployment
336,deployment
337,deployment
338,other
339,governance
340,boilerplate
341,governance
342,boilerplate
343,boilerplate
344,intent
345,deployment
346,deployment
347,deployment
348,other
349,boilerplate
350,governance
351,boilerplate
352,boilerplate
353,intent
354,deployment
